Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
163589,27781742,G,20.8439,3.5972,-4.9081,-19.9356,6.0852,-1.9023,-0.9383,1,G,5.8434,-3.0152,4.1409,-2.8099,5.1224,-0.5242,2.2002,-1,13.9258
165617,83565788,G,26.1477,3.2434,3.5045,-25.7078,4.7750,-2.3851,0.8241,-1,G,22.6821,-4.5229,-3.0658,-22.0139,5.4641,-2.1017,-2.5459,1,10.2549
166784,67098116,G,9.9952,-2.5128,5.1618,-8.1814,5.7409,-1.1525,2.0238,1,G,5.5645,1.3797,-5.1407,-1.6193,5.3226,-0.2997,-1.3086,-1,12.0319
173430,179304577,G,40.8159,-19.5792,12.9185,-33.4019,23.4571,-1.1518,2.5583,1,G,50.1010,32.1184,-15.4491,35.2113,35.6408,0.8728,-0.4483,-1,89.9943
165617,148037401,G,26.9149,-0.9526,9.7795,25.0571,9.8258,1.6657,1.6679,-1,G,5.4025,1.1679,-4.0133,3.4214,4.1797,0.7471,-1.2876,1,14.1456
160957,53118900,G,12.5110,-2.3078,-0.1094,-12.2954,2.3104,-2.3737,-3.0942,-1,G,8.1520,-0.4181,2.2703,7.8176,2.3085,1.9341,1.7529,1,19.8698
165548,251025868,G,18.8093,0.7680,-4.9981,18.1164,5.0568,1.9882,-1.4183,-1,G,13.4656,-0.6958,13.4136,-0.9498,13.4316,-0.0707,1.6226,1,26.0028
160957,95718319,G,13.7649,1.4620,8.9818,10.3271,9.1000,0.9736,1.4094,-1,T,4.6631,-0.9494,0.9859,4.4565,1.3687,1.8964,2.3373,1,4.6279
167807,1177053302,G,10.7014,6.7082,-4.1806,7.2133,7.8103,0.8183,-0.5571,1,G,6.6299,-5.7433,3.1131,-1.1254,6.5328,-0.1714,2.6449,-1,16.1629
166033,462805228,G,24.1711,13.3089,-6.7403,19.0176,14.9184,1.0630,-0.4688,1,T,27.0130,16.5749,-5.6293,20.5737,17.5047,1.0001,-0.3274,-1,2.5079
